source	reference	greedy	beam
بازنطینی جنرل کی حیثیت سے خدمات انجام دینے والے پہلے نارمن مزدوروں میں سے ایک ہروی <ans> 1050 کی دہائی میں </ans> تھا۔	ہروی نے کب بازنطینی جنرل کی حیثیت سے خدمات انجام دیں؟	نمیبیا میں پہلا جنرل کب کب ہوا؟	نمیبیا میں پہلا جنرل کب کب ہوا؟
بازنطینی جنرل کی حیثیت سے خدمات انجام دینے والے پہلے نارمن مزدوروں میں سے ایک ہروی <ans> 1050 کی دہائی میں </ans> تھا۔	ہروی نے کب بازنطینی جنرل کی حیثیت سے خدمات انجام دیں؟	نمیبیا میں پہلا جنرل کب کب ہوا؟	نمیبیا میں پہلا جنرل کب کب ہوا؟
<ans> 1060 کی دہائی </ans> میں ، رابرٹ کرسپین نے ترکوں کے خلاف ایڈیسا کے نارمنز کی قیادت کی۔	جب رابرٹ Crispin ترکوں کے خلاف چلا گیا؟	منگ کرن کے خلاف بوہیمین کے ساتھ ساتھ کب ہوا؟	منگ کرن کے خلاف بوہیمین کی قیادت کب ہوئی؟
<ans> 1060 کی دہائی میں </ans> ، رابرٹ کرسپین نے ترکوں کے خلاف ایڈیسا کے نارمنز کی قیادت کی۔	جب رابرٹ Crispin ترکوں کے خلاف چلا گیا؟	منگ کرن کے خلافوں نے خلاف کب کے ساتھ کب لڑی؟	منگ کرن کے خلافوں کے خلاف گر گیا؟
<ans> 1060 کی دہائی میں </ans> ، رابرٹ کرسپین نے ترکوں کے خلاف ایڈیسا کے نارمنز کی قیادت کی۔	جب رابرٹ Crispin ترکوں کے خلاف چلا گیا؟	منگ کرن کے خلافوں نے خلاف کب کے ساتھ کب لڑی؟	منگ کرن کے خلافوں کے خلاف گر گیا؟
روسل ڈی بیلول نے یہاں تک کہ مقامی آبادی کی حمایت سے ایشیاء مائنر میں ایک آزاد ریاست بنانے کی کوشش کی ، لیکن اسے بازنطینی جنرل <ans> الیکسیس کومنیوس </ans> نے روک دیا۔	کون ایک آزاد ریاست کے لئے Roussel ڈی Bailleul کے منصوبوں کو برباد کر دیا؟	روس نے جنرل جنرل کس نے دیا؟	اس جنرل جنرل کا نام کیا تھا جس نے وجہ سے اس کی حمایت کی تھی؟
انہوں نے یہاں تک کہ اپنے قلعے کے نام کو اپنی نسلیت دی: <ans> افرانجی </ans> ، جس کا مطلب فرینکس ہے۔	نارمن قلعے کا نام کیا تھا؟	اپنے اپنے نامے کے نام کیا کے اپنے نامے کے نام کیا ہے؟	قذافی نے اپنے آپ کو کیا کہا؟
<ans> اورسل </ans> نامی ایک نارمن نے شمالی شام میں اوپری فرات کی وادی میں فرینکس کی ایک فورس کی قیادت کی۔	فرینکس جب فرات کی وادی میں داخل ہوئے تو ان کا رہنما کون تھا؟	کون سا شہر ایک صوبے میں کی وادی کی قیادت کی قیادت کی؟	شمالی کیرولائنا میں کون کی وادی کی قیادت کی قیادت کس نے کی؟
کچھ نارمنوں نے <ans> ترکی کی افواج </ans> میں شمولیت اختیار کی تاکہ دور مشرقی اناطولیہ میں آرمینیائی وابستہ ریاستوں ساسون اور تارون کی تباہی میں مدد کی جاسکے۔	نارمنز نے اناطولیہ میں کس کے ساتھ تعاون کیا؟	کچھوںوں نے کس میں میں کس فوجی ادارے میں شامل اختیار کی؟	کچھوںوں نے کسوں میں کس ادارے میں شمولیت اختیار کی؟
بازنطینی یونان کے کئی خاندان کمینیئن بحالی کی مدت کے دوران <ans> نارمن مزدور </ans> نژاد تھے ، جب بازنطینی شہنشاہ مغربی یورپی جنگجوؤں کی تلاش کر رہے تھے۔	Raouliii خاندان کی ابتداء کیا تھی؟	بازنطینی کے کے دوران کون سے کے دوران کون سا؟	بازنطینی روم کے دوران کون کے دوران کون کے دوران کون تھے؟
راولی <ans> راول نامی ایک اطالوی-نورمن </ans> سے descended تھے ، پیٹرلیفی ایک پیئر ڈی اولپس سے descended تھے ، اور البانیائی قبائل کا وہ گروپ جسے منیکیٹس کے نام سے جانا جاتا ہے وہ نارمنوں سے descended تھے جنہوں نے 1038 کی سسلی مہم میں جارج منیاسس کے تحت خدمات انجام دیں۔	Raouliii خاندان کی ابتداء کیا تھی؟	رارا سامورائی کس سے سے تھے؟	رارا سامورائی کس سے سے تھے؟
راولی <ans> راول نامی ایک اطالوی-نارمن سے تعلق رکھتے تھے </ans> ، پیٹرلیفی ایک پیئر ڈی اولپس سے تعلق رکھتے تھے ، اور البانیائی قبائل کا وہ گروپ جسے منیکیٹس کے نام سے جانا جاتا ہے وہ نارمنوں سے تعلق رکھتا تھا جنہوں نے 1038 کی سسلی مہم میں جارج منیاسس کے تحت خدمات انجام دیں۔	Raouliii خاندان کی ابتداء کیا تھی؟	رارارا کس قسم کی آب و ہوا؟	رارارا کا نام کیا تھا؟
<ans> رابرٹ گسکارڈ </ans> ، ایک اور نارمن مہم جوئی جو پہلے اپنی فوجی کامیابیوں کے نتیجے میں اپولیا کے کاؤنٹ کی وقار کو بلند کیا گیا تھا ، نے بالآخر بازنطینیوں کو جنوبی اٹلی سے باہر نکال دیا۔	Apulia کے کاؤنٹ کا نام کیا تھا	کون سا کے ساتھ ساتھ، کون سا میں کون سا پتھر نے کو جلاوطن کیا؟	جو اٹلی میں کون کے بعدوں کو کس نے دریافت کیا گیا تھا؟
شہر کی گارنیشن نے فروری <ans> 1082 </ans> تک مزاحمت کی ، جب وہاں آباد وینس اور املفیٹن تاجروں نے ڈیرراچیم کو نارمنز کے حوالے کردیا۔	Dyrrachium نارمنوں کو کب گر گیا؟	کس سال میں پلائیماؤتھ نے نے سال میں کی؟	کس سال میں سان ڈیاگو نے کس سال ختم کیا گیا تھا؟
شہر کی گارنیشن نے <ans> فروری 1082 </ans> تک مزاحمت کی ، جب وہاں آباد وینس اور املفیٹن تاجروں نے ڈیرراچیم کو نارمنوں کے ساتھ دھوکہ دیا تھا۔	Dyrrachium نارمنوں کو کب گر گیا؟	کس سال میں پلائیماؤتھ نے نے نے کی کی؟	کس سال میں پلائیماؤتھ نے نے کی کی کی؟ کی؟ کی؟
شہر کی گارنیشن نے <ans> فروری 1082 </ans> تک مزاحمت کی ، جب وہاں آباد وینس اور املفیٹن تاجروں نے ڈیرراچیم کو نارمنوں کے ساتھ دھوکہ دیا تھا۔	Dyrrachium نارمنوں کو کب گر گیا؟	کس سال میں پلائیماؤتھ نے نے نے کی کی؟	کس سال میں پلائیماؤتھ نے نے کی کی کی؟ کی؟ کی؟
کروشیا اور ڈلمیٹیا کے کیتھولک شہروں کے ساتھ اتحاد کرنے کے بعد ، 1081 میں اس نے 300 بحری جہازوں میں <ans> 30،000 </ans> مردوں کی ایک فوج کی قیادت کی جو البانیہ کے جنوبی ساحل پر اتری ، والونا ، کینینا ، یریحو (اوریکومی) پر قبضہ کرلی ، اور متعدد لوٹ مار کے بعد بٹرنٹ پہنچی۔	رابرٹ کی فوج میں کتنے آدمی تھے؟	اس نے کتنے بحری جہازوں کے ساتھے میں فوج کی؟	نپولین نے کتن میں کتنے آدمیوں کی فوج کی؟
دریں اثنا ، انہوں نے پیٹرا ، دریا <ans> ڈیابولس </ans> کے کنارے ملی کے قلعے ، گلاوینیکا (بالش) ، کینینا اور یریحو پر قبضہ کرلیا۔	نارمنز اور بازنطینیوں نے امن معاہدے پر کہاں دستخط کیے؟	چولا دریا کس دریا کے قریب تھا؟	اس دریا کا نام کیا ہے؟
پہلی صلیبی جنگ کے چند سال بعد ، 1107 میں ، رابرٹ کے بیٹے <ans> بوہیمنڈ </ans> کی کمانڈ میں نارمنز والونا میں اتریں اور اس وقت کے سب سے نفیس فوجی سازوسامان کا استعمال کرتے ہوئے ڈیرراچیم کا محاصرہ کیا ، لیکن اس سے کوئی فائدہ نہیں ہوا۔	رابرٹ کا بیٹا کون تھا؟	کون سا ہنگری میں بیٹا بیٹے کا بیٹا کون تھا؟	الیگزینڈر کے بیٹے کا بیٹا کون تھا؟
دریں اثنا ، انہوں نے پیٹرا ، دریا <ans> ڈیابولس </ans> کے کنارے ملی کے قلعے ، گلاوینیکا (بالش) ، کینینا اور یریحو پر قبضہ کرلیا۔	پیٹریلا کس دریا کے کنارے واقع تھا؟	چولا دریا کس دریا کے قریب تھا؟	اس دریا کا نام کیا ہے؟
دریں اثنا ، انہوں نے پیٹریلا ، <ans> دریائے ڈیابولس </ans> کے کنارے ملی کے قلعے ، گلاوینیکا (بالش) ، کینینا اور یریحو پر قبضہ کرلیا۔	پیٹریلا کس دریا کے کنارے واقع تھا؟	سروں کے کس حکمران کے کس کے کے قلعے کے تھے؟	اس حکمران کا نام کیا ہے؟
بازنطینی ریاست کے مزید زوال نے <ans> 1185 </ans> میں تیسرے حملے کی راہ ہموار کی ، جب ایک بڑی نارمن فوج نے اعلی بازنطینی عہدیداروں کے غداری کی وجہ سے ڈیرراچیم پر حملہ کیا۔	نارمنز نے ڈیرراچیم پر کب حملہ کیا؟	کس سال میں ریاستہائے متحدہ نے فوج کی فوج پر حملہ کیا؟	کس سال ریاستہائے متحدہ کی فوج کے لئےے پر؟
بازنطینی ریاست کے مزید زوال نے <ans> 1185 میں </ans> تیسرے حملے کی راہ ہموار کی ، جب ایک بڑی نارمن فوج نے اعلی بازنطینی عہدیداروں کے غداری کی وجہ سے ڈیرراچیم پر حملہ کیا۔	نارمنز نے ڈیرراچیم پر کب حملہ کیا؟	کتنےےےے نےے کیے؟	ریاستہائے متحدہ میں کتنے کتنےےے؟
بازنطینی ریاست کے مزید زوال نے 1185 میں تیسرے حملے کی راہ ہموار کی ، جب ایک بڑی نارمن فوج نے اعلی بازنطینی عہدیداروں کے غداری کی وجہ سے <ans> ڈیرریچیم </ans> پر حملہ کیا۔	بحری اڈے کو کیا کہا جاتا تھا؟	کون فوج نے فوج فوج نے فوج فوج کی فوج پر حملہ کیا؟	کون فوج نے فوج نے فوج فوج نے کس فوج پر حملہ کیا؟
کچھ وقت بعد ، <ans> ایڈریٹک </ans> کے سب سے اہم بحری اڈوں میں سے ایک ، ڈراچیم دوبارہ بازنطینی ہاتھوں میں آگیا۔	Dyrrachium کہاں واقع تھا؟	کونuooeses میں ایک اہم کردار ادا کیا؟	کسuoooeseseseses میں ایک اہم کردار ادا کیا؟
کچھ وقت بعد ، <ans> ایڈریٹک </ans> کے سب سے اہم بحری اڈوں میں سے ایک ، ڈراچیم دوبارہ بازنطینی ہاتھوں میں آگیا۔	Dyrrachium کہاں واقع تھا؟	کونuooeses میں ایک اہم کردار ادا کیا؟	کسuoooeseseseses میں ایک اہم کردار ادا کیا؟
اس تعلقات نے بالآخر نارمنڈی کے ڈیوک رچرڈ دوم کی بہن ایما اور انگلینڈ کے <ans> کنگ ایتھلریڈ دوم </ans> کی شادی کے ذریعے خون کے قریبی تعلقات پیدا کیے۔	ایما نے کس سے شادی کی؟	فلپ دوم دوم کے کس شادی شادی کی شادی کی؟	فلپ دوم دوم نے کس شادی کی شادی شادی کی؟
اس تعلقات نے بالآخر ڈیوک رچرڈ دوم آف نارمنڈی کی بہن ایما اور انگلینڈ کے بادشاہ <ans> ایتھلریڈ دوم </ans> کی شادی کے ذریعے خون کے قریبی تعلقات پیدا کیے۔	ایما نے کس سے شادی کی؟	وکٹوریہ کی شادی کے شادی کی شادی کی شادی کی؟	وکٹوریہ کا کون بادشاہ کون تھا؟
اس تعلقات نے بالآخر نارمنڈی کے <ans> ڈوک رچرڈ دوم </ans> کی بہن ایما اور انگلینڈ کے بادشاہ ایتھلریڈ دوم کی شادی کے ذریعے خون کے قریبی تعلقات پیدا کیے۔	ایما کا بھائی کون تھا؟	پونٹاپونٹپونٹپونٹ دوم کی شادی کس نے کی؟	پونٹا دوم کی موت کی شادی کس نے کی؟
اس کی وجہ سے ، ایتھلریڈ 1013 میں <ans> نارمنڈی </ans> بھاگ گیا ، جب اسے سوین فورک بیئرڈ نے اپنی بادشاہی سے مجبور کردیا تھا۔	Ethelred کہاں بھاگ گیا؟	ایتھلاک کے بعد، کون سا بھاگ گیا؟	ایتھل 1013 میں 1013 میں بھاگ گیا؟
اس کی وجہ سے ، ایتھلریڈ 1013 میں نارمنڈی بھاگ گیا ، جب اسے <ans> سوینبی فورکارڈ </ans> نے اپنی بادشاہی سے مجبور کردیا تھا۔	کون Ethelred باہر لات مار دی؟	ایتھلتھکا نے 1087 میں کس نے کس؟	ایتھل 1013 کی وجہ سے کس نے سنبھالا؟
آخر کار جب ایڈورڈ کنفیسر اپنے سوتیلے بھائی <ans> ہارٹاکنوٹ </ans> کی دعوت پر 1041 میں اپنے والد کی پناہ گاہ سے واپس آیا تو اس نے اپنے ساتھ ایک نارمن تعلیم یافتہ ذہن لایا۔	ایڈورڈ Confessor کے سوتیلے بھائی کون تھا؟	جب وہ  والد والد کے والد تو وہ اس نے اس کی والد کے والد کی؟	جب وہ اپنی موت کی تو شوپن نے اس نے اسےذہ کے والد کس نے حاصل کیا؟
آخر کار جب ایڈورڈ کنفیسر اپنے سوتیلے بھائی ہارٹاکنوٹ کی دعوت پر <ans> 1041 </ans> میں اپنے والد کی پناہ گاہ سے واپس آیا تو اس نے اپنے ساتھ ایک نارمن تعلیم یافتہ ذہن لایا۔	ایڈورڈ کب واپس آیا؟	جب وہ والد والد والد اپنے والد میں اپنے والد میں واپس حاصل کی؟	جب  والد والد والد نے اپنے والد میں واپس لے لیا؟
آخر کار جب ایڈورڈ کنفیسر اپنے سوتیلے بھائی ہارٹاکنوٹ کی دعوت پر <ans> 1041 میں </ans> اپنے والد کی پناہ گاہ سے واپس آیا تو اس نے اپنے ساتھ ایک نارمن تعلیم یافتہ ذہن لایا۔	ایڈورڈ کب واپس آیا؟	جب وہ والد والد والد والد اپنے والد میں والد کی؟	جب  والد والد والد والد اپنے والد کے والد کے والد واپس آیا؟
اس نے <ans> رابرٹ آف جمیجیس </ans> کو کینٹربری کا آرک بشپ مقرر کیا اور رالف دی ٹمڈ ارل آف ہیرفورڈ بنا دیا۔	ایڈورڈ نے کس کو کینٹربری کا آرچ بشپ بنایا؟	آرریککککک نے کونکک کا آرچ بشپ کون تھا؟	آرریککک کا آرچ بشپ کون تھا؟
1066 میں ، ڈیوک ولیم دوم آف نارمنڈی نے انگلینڈ کو فتح کیا اور <ans> ہیسٹنگس کی لڑائی </ans> میں بادشاہ ہیرولڈ دوم کو مار ڈالا۔	ہیرالڈ دوم کہاں مر گیا؟	بادشاہ دوم دوم دوم دوم دوم دوم کو کس نے فتح کیا؟	بادشاہ دوم دوم دوم دوم دوم کو کس نے فتح کیا؟
1066 میں ، ڈیوک ولیم دوم آف نارمنڈی نے انگلینڈ پر فتح حاصل کی اور <ans> ہیسٹنگس کی لڑائی </ans> میں بادشاہ ہیرالڈ دوم کو مار ڈالا۔	ہیرالڈ دوم کہاں مر گیا؟	ولیم دوم دوم دوم دوم دوم دوم دوم کو کس بادشاہ میں بادشاہ کیا؟	ولیم دوم دوم دوم دوم دوم دوم کو کس نے شکست دی؟
1066 میں ، ڈیوک ولیم دوم آف نارمنڈی نے انگلینڈ پر فتح حاصل کی اور بادشاہ ہیرالڈ دوم کو <ans> ہیسٹنگس کی لڑائی میں </ans> مار ڈالا۔	ہیرالڈ دوم کہاں مر گیا؟	ولیم دوم دوم دوم دوم دوم دوم نے کس کیا؟	ولیم دوم دوم دوم دوم دوم دوم نے کہاں مارا؟
1066 میں ، نورمنڈی کے ڈیوک <ans> ولیم دوم </ans> نے ہیسٹنگس کی لڑائی میں بادشاہ ہیرالڈ دوم کو مار کر انگلینڈ پر فتح حاصل کی۔	ہیرالڈ دوم کو کس نے مارا؟	کس بادشاہ بادشاہ نے بادشاہ کو بادشاہ نے شکست دی؟	کون سا بادشاہ بادشاہ بادشاہ نے بادشاہ دوم کو شکست دی؟
1066 میں ، نارمنڈی کے <ans> ڈوک ولیم دوم </ans> نے ہیسٹنگس کی لڑائی میں بادشاہ ہیرالڈ دوم کو مار کر انگلینڈ پر فتح حاصل کی۔	ہیرالڈ دوم کو کس نے مارا؟	کس بادشاہ بادشاہ نے دوم کو انگلینڈ کو شکست دی؟	کون سا بادشاہ بریس دوم دوم دوم دوم کو شکست دی؟
1066 میں ، نارمنڈی کے <ans> ڈوک ولیم دوم </ans> نے ہیسٹنگس کی لڑائی میں بادشاہ ہیرالڈ دوم کو مار کر انگلینڈ پر فتح حاصل کی۔	ہیرالڈ دوم کو کس نے مارا؟	کس بادشاہ بادشاہ نے دوم کو انگلینڈ کو شکست دی؟	کون سا بادشاہ بریس دوم دوم دوم دوم کو شکست دی؟
<ans> 1066 میں </ans> ، نورمنڈی کے ڈیوک ولیم دوم نے ہیسٹنگس کی لڑائی میں بادشاہ ہیرالڈ دوم کو مار کر انگلینڈ پر فتح حاصل کی۔	ہیسٹنگس کی جنگ کب ہوئی تھی؟	کس سال میں چارلس دوم نے دوم دوم دوم دوم کی فتح فتح کی؟	کس سال میں چارلس دوم دوم دوم دوم دوم کو شکست دی؟
